Location,Artist,"Song Title"
BP-0064,"Elton John & Kiki Dee","Don't Go Breaking My Heart"
BP-0065,"Elvis Presley","Suspicious Minds"
BP-0066,"Emeli Sande",Clown
BP-0067,"Etta James","At Last"
BP-0068,"Eva Cassidy","Over The Rainbow"
BP-0069,"Frank Sinatra","My Way"
BP-0070,Gabrielle,Dreams
BP-0071,"Gary Barlow","Let Me Go"
BP-0072,"George Ezra",Budapest
BP-0073,"Gloria Gaynor","I Will Survive"
BP-0074,"Idina Menzel","Let It Go"
BP-0075,"Jackson 5","I Want you Back   "
BP-0076,"James Arthur","Safe Inside"
BP-0077,"James Bay","Hold Back The River"
BP-0078,"James Brown","Sex Machine"
BP-0079,"James Morrison & Nelly Furtardo","Broken Strings"
BP-0080,"Jason Mraz","I'm Yours"
BP-0081,"Jessie J ft. BOB","Price Tag"
BP-0082,"John Legend","All Of Me"
BP-0083,"Kate Bush","Wuthering Heights"
BP-0084,"Katy Perry",Firework
BP-0085,"Katy Perry",Roar
BP-0086,"Kenny Rogers & Dolly Parton","Islands In The Stream"
BP-0087,Killers,"Mr Brightside"
BP-0088,"Kings Of Leon","Sex On Fire"
BP-0089,"Kylie Minogue","I Should Be So Lucky"
BP-0090,"Lady Gaga",Paparazzi
BP-0091,"Leona Lewis ","Bleeding Love"
BP-0092,"Leona Lewis ",Run
BP-0093,"Little Mix","Black Magic"
BP-0094,"Little Mix ft. Charlie Puth",Oops
BP-0095,Lulu,Shout
BP-0096,Madonna,"Like A Prayer"
BP-0097,"Mark Ronson ft. Bruno Mars","Uptown Funk"
BP-0098,"Maroon 5 ft. Christina Aguilera","Moves Like Jagger"
BP-0099,"Meat Loaf","Dead Ringer for Love"
BP-0100,"Meghan Trainor","All About That Bass"
BP-0101,"Michael Jackson","Man In The Mirror"
BP-0102,"Miley Cyrus","Wrecking Ball"
BP-0103,"Mumford & Sons",Believe
BP-0104,"Mungo Jerry","In The Summertime"
BP-0105,"Natalie Imbruglia",Torn
BP-0106,"No Doubt","Don't Speak"
BP-0107,Nolans,"I'm In The Mood For Dancing"
BP-0108,Oasis,Wonderwall
BP-0109,"Olly Murs","Please Don't Let Me Go"
BP-0110,"One Direction","Best Song Ever"
BP-0111,"One Direction","Little Things"
BP-0112,"One Direction","Story Of My Life"
BP-0113,"One Republic","Counting Stars"
BP-0114,"Otis Redding","(Sittin' On) The Dock Of The Bay"
BP-0115,"Palom Faith","Only Love Will Hurt Like This"
BP-0116,"Patsy Cline ",Crazy
BP-0117,"Percy Sledge","When A Man Loves A Woman"
BP-0118,"Peter Andre","Mysterious Girl"
BP-0119,"Prince ","Purple Rain"
BP-0120,"Pussycat Dolls ft. Busta Rhymes","Don't Cha"
BP-0121,Queen,"Bohemian Rhapsody"
BP-0122,"Rachel Platten","Fight Song"
BP-0123,"Rag and Bone Man",Human
BP-0124,"Righteous Brothers","Unchained Melody"
BP-0125,Rihanna,Umbrella
BP-0126,"Rihanna ft. Mikky Ekko",Stay
BP-0127,"Rod Stewart ","Maggie May"
BP-0128,"Roy Orbison ","Pretty Woman"
BP-0129,"Sam Smith ","Stay With Me"
BP-0130,"Shawn Mendes",Stitches
BP-0131,"Simply Red","Holding Back the Years"
BP-0132,"Sister Sledge ","We are Family"
BP-0133,"Snow Patrol ","Chasing Cars"
BP-0134,"Spice Girls ",Wannabe
BP-0135,Steppenwolf,"Born To Be Wild"
BP-0136,"Stereophonics ",Dakota
BP-0137,"Survivor ","Eye Of The Tiger"
BP-0138,"Take That",Patience
BP-0139,"Taylor Swift ","Blank Space"
BP-0140,"Taylor Swift ","Wildest Dreams"
BP-0141,"Tiffany ","I Think We're Alone Now"
BP-0142,"Tom Jones",Delilah
BP-0143,"Tony Christie ",Amarillo
BP-0144,Travis,"Why Does it Always Rain on Me"
BP-0145,U2,"Beautiful Day"
BP-0146,"The Verve","The Drugs Don't Work"
BP-0147,Westlife,"Flying Without Wings"
BP-0148,"Whitney Houston","I Will Always Love You"
BP-0149,"Whitney Houston","Greatest Love Of All"
BP-0150,"Years & Years ",King
BP-0151,"Alicia Keys",Fallin'
BP-0152,"Blu Cantrell","Hit Em Up"
BP-0153,Blue,"If You Come Back"
BP-0154,Cher,"Music's No Good Without You"
BP-0155,"City High","What Would You Do"
BP-0156,"DJ Otzi","Do Wah Diddy"
BP-0157,"Dandy Warhols","Bohemian Like You"
BP-0158,"Geri Halliwell",Calling
BP-0159,"Hear Say",Everybody
BP-0160,"Robbie Williams & Nicole Kidman","Something Stupid"
BP-0161,"S Club 7 ","Have You Ever"
BP-0162,Steps,"Words are not Enough"
BP-0163,Westlife,"When You're Looking Like That"
BP-0164,Anastacia,"One Day in Your Life"
BP-0165,"Celine Dion","A New Day Has Come"
BP-0166,"Ali G & Shaggy ","Me Julie"
BP-0167,"Gareth Gates","Unchained Melody"
BP-0168,"Darren Hayes",Insatiable
BP-0169,Hoobastank,"Crawling in the Dark"
BP-0170,"Enrique Iglesias",Escape
BP-0171,"R Kelly","The World's Greatest"
BP-0172,"George Michael",Freeek
BP-0173,Oasis,"The Hindu Times"
BP-0174,"Britney Spears","I'm Not A Girl, Not Yet A Woman"
BP-0175,"Rik Waller","I Will Always Love You"
BP-0176,"Robbie Williams","I  Will Talk & Hollywood Will Listen"
BP-0177,"1 Giant Leap ft. Maxi Jazz & Robbie Williams","My Culture"
BP-0178,Aaliyah,"Rock The Boat"
BP-0179,"Ant & Dec","We're on the Ball"
BP-0180,"Atomic Kitten","It's Ok"
BP-0181,"Holly Valance","Kiss Kiss"
BP-0182,"Kylie Minogue","Love at First Sight"
BP-0183,"N Sync & Nelly",Girlfriend
BP-0184,"Pink ","Don't Let Me Get Me"
BP-0185,"Ronan Keating ","If Tomorrow Never Comes"
BP-0186,"Sugababes ","Freak like Me"
BP-0187,Westlife,"Bop Bop Baby"
BP-0188,"Will Young","Light My Fire"
BP-0189,"X Press 2 & David Byrne",Lazy
BP-0190,"Alicia Keys","How Come You Don't Call Me"
BP-0191,Anastacia,Boom
BP-0192,Brandy,"Full Moon"
BP-0193,"The Calling","Wherever You Will Go"
BP-0194,"Chad Kroeger",Hero
BP-0195,"DJ Otzi","Hey Baby World Cup Remix"
BP-0196,Eminem,"Without Me"
BP-0197,"JXL Remix Elvis","A Little Less Conversation"
BP-0198,"Liberty X","Just a Little"
BP-0199,"No Doubt","Hella Good"
BP-0200,"S Club Juniors","One Step Closer"
BP-0201,Shakira,"Underneath Your Clothes"
BP-0202,"Zoe Birkett","Get Happy"
BP-0203,"Christina Milian","When You Look at Me"
BP-0204,Coldplay,"In My Place"
BP-0205,Darius,"Colour Blind"
BP-0206,"Gareth Gates","Any One Of Us"
BP-0207,"Mary J Blige","No More Drama"
BP-0208,"N Sync",Gone
BP-0209,"Natalie Imbruglia","Beauty On The Fire"
BP-0210,Oasis,"Stop Crying Your Heart Out"
BP-0211,"Red Hot Chili Peppers","By The Way"
BP-0212,"S Club Juniors","Automatic High"
BP-0213,"Sophie Ellis Bexter","Get Over You"
BP-0214,"Will Smith","Black Suits Comin'"
BP-0215,Abs,"Give Me What You Got"
BP-0216,"Amy Studt","Just a Little Girl"
BP-0217,Ashanti,Foolish
BP-0218,"Atomic Kitten","The Tide Is High"
BP-0219,Beyonce,"Work it Out"
BP-0220,Blue,"Best in Me"
BP-0221,"Britney Spears & Pharell Williams",Boys
BP-0222,"Enrique Iglesias","Love To See You Cry"
BP-0223,"George Michael","Shoot The Dog"
BP-0224,"Hear Say","Lovin' Is Easy"
BP-0225,"Jennifer Lopez","I'm Gonna Be Alright"
BP-0226,"Ronan Keating","I Love It When We Do"
BP-0227,Toploader,"Time Of My Life"
BP-0228,"Alicia Keys","A Woman's Worth"
BP-0229,"Alien Ant Farm",Movies
BP-0230,Blue,"Fly By"
BP-0231,Brandy,"What About Us"
BP-0232,"DB Boulevard","Point Of View"
BP-0233,"Enrique Iglesias",Hero
BP-0234,Mis-Teeq,"B With Me"
BP-0235,Nickelback,"How You Remind Me"
BP-0236,Shakira,"Whenever Wherever"
BP-0237,Travis,"Flowers In The Window"
BP-0238,"Victoria Beckham","A Mind Of Its Own"
BP-0239,"Will Young","Anything Is Possible"
BP-0240,"Will Young",Evergreen
BP-0241,"Blazin' Squad",Crossroads
BP-0242,"Bon Jovi",Everyday
BP-0243,Eminem,"Cleanin' Out My Closet"
BP-0244,"Kelly Osbourne","Papa Don't Preach"
BP-0245,"Kylie Minogue","Come Into My World"
BP-0246,"Liberty X","Got To Have Your Love"
BP-0247,Mad'House,"Like A Prayer"
BP-0248,Milky,"Just The Way You Are"
BP-0249,Nelly,"Hot In Here"
BP-0250,Nickelback,"Too Bad"
BP-0251,Sugababes,"Round Round"
BP-0252,"Vanessa Carlton","A Thousand Miles"
BP-0253,"Will Young & Gareth Gates","The Long & Winding Road"
BP-0254,"Atomic Kitten","The Last Goodbye"
BP-0255,"Blazin' Squad","Love On The Line"
BP-0256,"Blue & Elton John","Sorry Seems To Be The Hardest Word"
BP-0257,"DJ Sammy",Heaven
BP-0258,Darius,Rushes
BP-0259,"Ronan Keating & Lulu","We've Got Tonight"
BP-0260,"Jennifer Lopez","Jenny From The Block"
BP-0261,"S Club 7",Alive
BP-0262,Sugababes,Stronger
BP-0263,"Justin Timberlake","Like I Love You"
BP-0264,"Shania Twain","I'm Gonna Get You Good"
BP-0265,"Robbie Williams",Feel
BP-0266,"Will Young","You And I"
BP-0267,"Daniel Bedingfield","If You're Not The One"
BP-0268,"Cheeky Girls","Cheeky song (Touch My Bum)"
BP-0269,Eminem,"Lose Yourself"
BP-0270,"Gareth Gates","What My Heart Wants To Say"
BP-0271,"Girls Aloud","Sound Of The Underground"
BP-0272,"David Gray","The Other Side"
BP-0273,"Avril Lavigne","Sk8er Boi"
BP-0274,"Liberty X","Holding On To You"
BP-0275,"Ms Dynamite","Put Him Out"
BP-0276,"One True Voice","After You're Gone"
BP-0277,"One True Voice","Sacred Trust"
BP-0278,"S Club Juniors","Puppy Love"
BP-0279,"Holly Valance","Naughty Girl"
BP-0280,Westlife,"Miss You Nights"
BP-0281,Appleton,"Don't Worry"
BP-0282,"Blazin' Squad","Where The Story Ends"
BP-0283,"Craig David","Hidden Agenda"
BP-0284,"David Sneddon","Stop Living The Lie"
BP-0285,"Electric 6","Danger High Voltage"
BP-0286,"Jay-Z & Beyonce","03 Bonnie & Clyde"
BP-0287,"Jurgen Vries","The Opera Song"
BP-0288,"Justin Timberlake","Cry Me A River"
BP-0289,"Kelly Rowland",Stole
BP-0290,"Mel C","Here It Comes Again"
BP-0291,Pink,"Family Portrait"
BP-0292,Tatu,"All The Things She Said"
BP-0293,U2,"The Hands That Built America"
BP-0294,"50 Cent","In Da Club"
BP-0295,"Christina Aguilera",Fighter
BP-0296,"Daniel Bedingfield","I Can't Read You"
BP-0297,Busted,"You Said No"
BP-0298,"Cheeky Girls","Take Your Shoes Off"
BP-0299,"Craig David & Sting","Rise & Fall"
BP-0300,"Girls Aloud","No Good Advice"
BP-0301,"David Gray","Be Mine"
BP-0302,"Ronan Keating","The Long Goodbye"
BP-0303,"David Sneddon","Don't Let Go"
BP-0304,Tatu,"Not Gonna Get Us"
BP-0305,"Justin Timberlake","Rock Your Body"
BP-0306,"Big Brovaz","My Favourite Things"
BP-0307,Evanescence,"Bring Me To Life"
BP-0308,"Good Charlotte","Girls & Boys"
BP-0309,"Jennifer Lopez","I'm Glad"
BP-0310,Madonna,Hollywood
BP-0311,"R Kelly",Ignition
BP-0312,"S Club 8","Fool No More"
BP-0313,"S Club 7","Say Goodbye"
BP-0314,Sonique,"Can't Make Up My Mind"
BP-0315,Stereophonics,"Madame Helga"
BP-0316,Tomcraft,Loneliness
BP-0317,"The White Stripes","Seven Nation Army"
BP-0318,"50 Cent ft. Nate Dogg","21 Questions"
BP-0319,"Avril Lavigne","Losing Grip"
BP-0320,Beyonce,"Crazy In Love"
BP-0321,"Blazin' Squad","We Just Be Dreamin'"
BP-0322,"Busta Rhymes & Mariah Carey","I Know What You Want"
BP-0323,"Fast Food Rockers","Fast Food Song"
BP-0324,"Girls Aloud","Life Got Cold"
BP-0325,"Junior Senior","Rhythm Bandits"
BP-0326,Mis-Teeq,"Can't Get It Back"
BP-0327,Pink,"Feel Good Time"
BP-0328,Stereophonics,"Maybe Tomorrow"
BP-0329,"Wayne Wonder","No Letting Go"
BP-0330,"Blu Cantrell ft. Sean Paul",Breathe
BP-0331,Busted,"Sleeping With The Light On"
BP-0332,"Cheeky Girls","Hooray Hooray (It's A Cheeky Holiday)"
BP-0333,"Christina Aguilera","Can't Hold Us Down"
BP-0334,Coldplay,"God Put A Smile Upon Your Face"
BP-0335,"The Coral","Pass It On"
BP-0336,"Daniel Bedingfield","Never Gonna Leave Your Side"
BP-0337,"Deepest Blue","Deepest Blue"
BP-0339,"Gareth Gates",Sunshine
BP-0340,Javine,"Real Things"
BP-0341,"R Kelly",Snake
BP-0342,"Robbie Williams","Something Beautiful"
BP-0344,Anastacia,"Paid My Dues"
BP-0345,"Beverly Knight","Get Up"
BP-0347,"Destiny's Child",Emotion
BP-0348,"Jennifer Lopez","Ain't It Funny"
BP-0349,"Jennifer Lopez","I'm Real"
BP-0350,"Kate Winslet","What If"
BP-0351,iiO,Rapture
BP-0352,"Macy Gray","Sexual Revolution"
BP-0353,"Mariah Carey","Never Too Far"
BP-0354,"Michael Jackson",Cry
BP-0355,"O Town","Liquid Dreams"
BP-0356,Steps,"I Know Him So Well"
BP-0357,"The Tweenies","I Believe In Christmas"
BP-0358,U2,"Walk On"
BP-0359,"Ainslie Henderson","Keep Me A Secret"
BP-0361,"Big Brovaz",OK
BP-0362,"Blazin' Squad",Reminisce
BP-0363,Busted,"Year 3000"
BP-0364,"Christina Aguilera",Beautiful
BP-0365,"DJ Sammy","Boys Of Summer"
BP-0368,"Michelle Branch","Goodbye To You"
BP-0369,"Ms Dynamite",Brother
BP-0370,Oasis,"Song Bird"
BP-0371,"Red Hot Chili Peppers","Can't Stop"
BP-0372,"Sarah Whatmore",Automatic
BP-0375,"Cliff Richard","The Day I Met Marie"
BP-0376,"David Essex","Silver Dream Machine"
BP-0377,"Del Amitri","Nothing Ever Happens"
BP-0378,"Diana Ross","Chain Reaction"
BP-0379,"Fiction Factory","Feels Like Heaven"
BP-0380,"Frankie Laine","Cool Water"
BP-0381,"George Harrison","Give Me Love (Give Me Peace On Earth)"
BP-0382,"Hot Chocolate","No Doubt About It"
BP-0383,"Joy Division","Love Will Tear Us Apart"
BP-0384,"Lenny Kravitz","Heaven Help"
BP-0385,"Living Colour","Love Rears It's Ugly Head"
BP-0386,"Prefab Sprout","The King Of Rock N Roll"
BP-0387,"Soft Cell","Say Hello, Wave Goodbye"
BP-0388,"The Goodies","The Funky Gibbon"
BP-0389,"Vanessa Paradis","Joe Le Taxi"
BP-0390,"Avril Lavigne","Knockin' On Heaven's Door"
BP-0391,Blur,"Out Of Time"
BP-0394,D-Side,Speechless
BP-0397,"Lisa Scott-Lee",Lately
BP-0398,"Macy Gray","When I See"
BP-0401,"Room 5 ft. Oliver Cheatham","Make Luv"
BP-0404,"The Androids","Do It With Madonna"
BP-0406,Abs,"What You Got"
BP-0407,Anastacia,"Why'd You Lie To Me"
BP-0409,"Celine Dion","I'm Alive"
BP-0412,"H & Claire","Half A Heart"
BP-0413,Jay-Z,"Hard Knock Life"
BP-0414,"Kelly Llorenna","Tell It To My Heart"
BP-0418,Appleton,Fantasy
BP-0419,Pink,"Just Like A Pill"
BP-0422,Tweet,"Call Me"
BP-0423,"Alanis Morrissette","Hands Clean"
BP-0424,"Britney Spears",Overprotected
BP-0425,"Christina Milian","AM To PM"
BP-0428,"Flip & Fill ft. Kelly Llorenna","True Love Never Dies"
BP-0429,Haven,"Say Something"
BP-0430,Jay-Z,"Girls Girls Girls"
BP-0431,"Linkin Park","Point Of Authority"
BP-0432,"Nelly Furtado","On The Radio (Remember The Days)"
BP-0433,"No Doubt ft. Bounty Killer","Hey Baby"
BP-0434,"Pure Tone","Addicted To Bass"
BP-0436,"Sarah McLachlan",Angel
BP-0437,Westlife,"A World Of Our Own"
BP-0438,Wheatus,Leroy
BP-0440,A,Nothing
BP-0442,"Princess Superstar","Bad Babysitter"
BP-0443,"Beverly Knight","Shoulda Woulda Coulda"
BP-0446,Cher,"Song For The Lonely"
BP-0448,"Hermes House Band","Que Sera Sera"
BP-0449,Jamiroquai,"Love Foolosophy"
BP-0450,"Lighthouse Family",Run
BP-0451,"Marilyn Manson","Tainted Love"
BP-0452,"Mary J Blige","Dance For Me"
BP-0457,Aaliyah,"More Than A Woman"
BP-0458,"Afro Man","Because I Got High"
BP-0459,"Alien Ant Farm","Smooth Criminal"
BP-0460,"Atomic Kitten","You Are"
BP-0462,"Britney Spears","I'm A Slave For You"
BP-0463,"The Corrs","Would You Be Happier"
BP-0465,"DJ Otzi","Hey Baby"
BP-0466,"Elton John","I Want Love"
BP-0468,"Joe Breezer","Venus & Mars"
BP-0469,"Right Said Fred","You're My Mate"
BP-0471,Steps,"Chain Reaction"
BP-0472,Stereophonics,"Handbags And Gladrags"
BP-0473,3SL,"Take It Easy"
BP-0474,Baz,"Smile To Shine"
BP-0475,Bluetones,Afterhours
BP-0478,"Elton John","Original Sin"
BP-0479,"Faithless ft. Dido","One Step Too Far"
BP-0480,"Michelle Branch",Everywhere
BP-0482,Oasis,"Hindu Times"
BP-0483,"Sheryl Crow","Soak Up The Sun"
BP-0484,"Shy FX & T Power","Shake Ur Body"
BP-0485,Starsailor,"Poor Misguided Fool"
BP-0486,Stereophonics,"Vegas 2 Times"
BP-0487,"Steve Balsamo","Sugar For The Soul"
BP-0489,Usher,U-turn
BP-0492,"Ian Van Dahl",Reason
BP-0493,"Jamie Benson",Stay
BP-0494,Jamiroquai,"Corner Of The Earth"
BP-0495,"Lady Dynamite","It Takes More"
BP-0496,"Lauren Waterworth","Baby Now"
BP-0498,Moby,"We Are All Made Of Stars"
BP-0499,"Nikki Webster","Strawberry Kisses"
BP-0502,Rihanna,"Oh Baby"
BP-0504,"The Sex Pistols","God Save The Queen"
BP-0505,"Tweet ft. Missy Elliot","Oops (Oh My)"
BP-0507,"Avril Lavigne",Complicated
BP-0508,Blue,"One Love"
BP-0510,Busted,"What I Go To School For"
BP-0511,"Danni Minogue","Put The Needle On It"
BP-0512,"Gareth Gates","Suspicious Minds"
BP-0514,"Las Ketchup","The Ketchup Song"
BP-0515,"LeAnn Rimes","Life Goes On"
BP-0516,"Milk Inc","Walk On Water"
BP-0517,"Missy Elliot","Work It"
BP-0518,"Nelly ft. Kelly Rowland",Dilemma
BP-0519,"Nick Carter","Help Me"
BP-0520,"No Doubt","Underneath It All"
BP-0521,"Rosie Ribbons",Blink
BP-0522,Shaggy,"Hey Sexy Lady"
BP-0523,Westlife,Unbreakable
BP-0524,Aqualung,"Strange And Beautiful"
BP-0525,Ashanti,Happy
BP-0527,Bless'd,Boo
BP-0528,"Britney Spears","I Love Rock N Roll"
BP-0529,"The Calling",Adrienne
BP-0530,Coldplay,"The Scientist"
BP-0531,"Craig David","What's Your Flava"
BP-0533,Mad'House,Holiday
BP-0534,Madonna,"Die Another Day"
BP-0536,Nirvana,"You Know You're Right"
BP-0537,"Red Hot Chili Peppers","Zephyr Song"
BP-0540,Aqualung,"Good Times Gonna come"
BP-0547,"H & Claire","All Out Of Love"
BP-0548,"Mariah Carey","Through The Rain"
BP-0551,"Sophie Ellis Bextor","Music Get The Best Of Me"
BP-0552,U2,"Electrical Storm"
BP-0555,"Wyclef Jean",Pussycat
BP-0556,"Atomic Kitten","Love Doesn't Have To Hurt"
BP-0557,"Avril Lavigne","I'm With You"
BP-0558,Blue,"U Make Me Wanna"
BP-0559,"Danni Minogue","I Begin To Wonder"
BP-0560,Darius,Incredible
BP-0561,Eminem,"Sing For The Moment"
BP-0562,"Gareth Gates ft. The Kumars","Spirit In The Sky"
BP-0563,"Ja Rule ft. Ashanti",Mesmerize
BP-0564,"Liberty X vs Richard X","Being Nobody"
BP-0565,"Mariah Carey","Boy (I Need You)"
BP-0566,Mis-Teeq,Scandalous
BP-0567,"Nelly ft. Justin Timberlake","Work It"
BP-0568,"Sinead Quinn","I Can't Break Down"
BP-0569,Sugababes,Shape
BP-0570,Westlife,Tonight
BP-0571,"Whitney Houston","Try It On My Own"
BP-0572,"Counting Crows","Big Yellow Taxi"
BP-0575,"Delta Goodrem","Born To Try"
BP-0577,"Jennifer Lopez & LL CooL J","All I have"
BP-0578,"Junior Senior","Move Your Feet"
BP-0580,"Kym Marsh",Cry
BP-0581,"Linkin Park","Somewhere I Belong"
BP-0582,"Lionel Richie & Enrique Iglesias","To Love A Woman"
BP-0583,Madonna,"American Life"
BP-0584,"Robbie Williams","Come Undone"
BP-0585,"S Club 7","Love Ain't Gonna Wait For You"
BP-0586,"Shania Twain",Ka-ching
BP-0587,"Simply Red",Sunrise
BP-0591,"DJ Sammy",Sunlight
BP-0592,Darius,"Girl In The Moon"
BP-0593,"Electric 6","Gay Bar"
BP-0594,"Emma Bunton","Free Me"
BP-0599,"Mel C","On The Horizon"
BP-0600,"Red Hot Chili Peppers","Universally Speaking"
BP-0602,"Sean Paul","Get Busy"
BP-0603,"Shania Twain","Forever & For Always"
BP-0605,"Amy Studt",Misfit
BP-0610,"Craig David",Spanish
BP-0611,"Delta Goodrem","Lost Without You"
BP-0612,Eminem,Business
BP-0613,"Girls Aloud","Some Kind Of Miracle"
BP-0616,"Kym Marsh","Come On Over"
BP-0619,XTM,"Fly On The Wings Of Love"
BP-0620,Ash,Candy
BP-0621,Blue,"Too Close"
BP-0622,"Bob The Builder","Mambo No.5"
BP-0623,"Eve ft. Gwen Stefani","Let Me Blow Ya Mind"
BP-0624,Jamiroquai,"Little L"
BP-0625,"Kylie Minogue","Can't Get You Out Of My Head"
BP-0626,Louise,"Stuck In The Middle With You"
BP-0627,"Macy Gray","Sweet Baby"
BP-0628,Madonna,Amazing
BP-0629,"Manic Street Preachers","Let Robeson Sing"
BP-0630,"Michael Jackson","You Rock My World"
BP-0631,"Missy Elliot","One Minute Man"
BP-0632,"Natalie Imbruglia","That Day"
BP-0633,"Sophie Ellis Bextor","Take Me Home"
BP-0634,Travis,Side
BP-0636,"Joyce Sims","All And All"
BP-0637,"Roxy Music",Avalon
BP-0638,"Beach Boys","California Girls"
BP-0639,"Joyce Sims","Come Into My Life"
BP-0640,"Liquid Gold","Dance Yourself Dizzy"
BP-0641,Visage,"Fade To Grey"
BP-0642,"Howard Jones","Like To Get To Know You Well"
BP-0643,"Style Council","Long Hot Summer"
BP-0644,"Roxy Music","Over You"
BP-0645,"KC & The Sunshine Band","Please Don't Go"
BP-0646,Japan,"Quiet Life"
BP-0647,Lindisfarne,"Run For Home"
BP-0648,10cc,"The Things We Do For Love"
BP-0649,"Style Council","You're The Best Thing"
BP-0650,"Hi Gloss","You'll Never Know"
BP-0651,"Barry Manilow","It's A Miracle"
BP-0652,"Barry Manilow","Somewhere In The Night"
BP-0653,"Bruce Springsteen","Cover Me"
BP-0654,"Bruce Springsteen","Human Touch"
BP-0655,"Dusty Springfield & Pet Shop Boys","What Have I Done To Deserve This"
BP-0656,"Faith Hill",Breathe
BP-0657,"Faith Hill","Take Me As I Am"
BP-0658,"Fleetwood Mac","Big Love"
BP-0659,"Jack Jones","The Impossible Dream"
BP-0660,"Lionel Richie","Ballerina Girl"
BP-0661,"Lionel Richie","You Are"
BP-0662,"Petula Clark","I Couldn't Live Without Your Love"
BP-0663,"Shania Twain","No One Needs To Know"
BP-0664,"Shania Twain","What Made You Say That"
BP-0665,"Stevie Nicks","Talk To Me"
BP-0666,Beetlejuice,"Jump In Line (Shake Shake)"
BP-0668,"Del Amitri","Kiss This Thing Goodbye"
BP-0669,"Dirty Dancing",Loverboy
BP-0670,"Elvis Presley","If I Can Dream"
BP-0671,"Gary Moore","Parisienne Walkways"
BP-0672,"Kate Bush","Running Up That Hill"
BP-0673,"Kym Sims","Too Blind To See It"
BP-0674,"Lloyd Cole & The Commotions","Lost Weekend"
BP-0675,"Norah Jones","Come Away With Me"
BP-0676,"Norah Jones","Don't Know Why"
BP-0677,Proclaimers,"Sunshine On Leith"
BP-0678,"Roy Orbison","A Love So Beautiful"
BP-0679,"Rupert Holmes","Escape (The Pina Colada Song)"
BP-0680,U2,"With Or Without You"
BP-0681,ATC,"Around The World (La La La La La)"
BP-0683,"Bowling For Soup","The Girl All The Bad Guys Want"
BP-0684,"Daniel Bedingfield","James Dean (I Wanna Know)"
BP-0686,"Holly Valance","Down Boy"
BP-0688,"Ms Dynamite",Dy-na-mi-tee
BP-0690,"Oakenfold ft. Shifty Shellshock","Starry Eyed Surprise"
BP-0691,Oasis,"Little By Little"
BP-0692,"S Club Juniors","New Direction"
